L_check,L,log10_inv_probability,log10_pec_sample,log10_total_sample
50,2101,4.695491337928636,0.5210970609275704,5.216588399554447
50,2201,4.918974508629706,0.5459111434662309,5.464885666033418
50,2301,5.142457673818759,0.5707251922942657,5.713182878885788
50,2401,5.365940887209517,0.5955392729188526,5.96148015291356
50,2501,5.5894240567017865,0.6203533265420916,6.209777388541793
50,2601,5.812907220648401,0.6451673716832685,6.458074600523949
50,2701,6.036390414550163,0.6699814543035607,6.70637187283183
50,2801,6.259873619418625,0.6947955775206843,6.9546692112254505
50,2901,6.483356770324199,0.7196096011786428,7.20296637717819
50,3001,6.706839956497388,0.7444236861936188,7.45126364785182
70,1,0.002344544903112422,1.6566988126921543e-06,0.0023462195715877893
70,101,0.2237216889503301,0.02946952870619995,0.25319122973635794
70,201,0.44089143181752627,0.06826433737157725,0.5091557833815654
70,301,0.6606494422826246,0.1013202572975893,0.7619696996567199
70,401,0.8792628927368545,0.13692488748335307,1.0161877818831386
70,501,1.097123108416463,0.17415509702633464,1.2712782017778088
70,601,1.3171394592880092,0.20665696120045546,1.5237964328463292
70,701,1.5331576070940225,0.2479834112029248,1.781141029567602
70,801,1.7545347242578995,0.27745129730909796,2.031986030145559
70,901,1.971704451905142,0.3162461107701294,2.287950568488733
70,1001,2.1914625199190456,0.34930201409291944,2.540764525417616
70,1101,2.4100759199528095,0.38490665202625984,2.7949825524930274
70,1201,2.627936186549625,0.4221368679435397,3.0500730327132213
70,1301,2.8479525562268315,0.45463872609054984,3.3025912716327954
70,1401,3.0639706364543033,0.4959651727458394,3.5599358039173925
70,1501,3.285347841283968,0.5254330188172371,3.810780863162661
70,1601,3.5025175729037605,0.5642278645220793,4.066745433410676
70,1701,3.7222755715981988,0.5972838268158818,4.319559392503768
70,1801,3.9408889838024854,0.6328884346425171,4.573777402706444
70,1901,4.158749198950273,0.6701186453999739,4.828867852210056
70,2001,4.378765570366509,0.702620486402305,5.0813860461974905
70,2101,4.594783738278807,0.743946930394834,5.338730673715461
70,2201,4.816160873861375,0.7734147873161855,5.589575677804388
70,2301,5.033330608133401,0.8122096442690643,5.845540252304037
70,2401,5.253088610635115,0.845265571268037,6.098354200608629
70,2501,5.471702026070087,0.8808702325355134,6.352572243129162
70,2601,5.689562303796971,0.9181003968215766,6.607662711073791
70,2701,5.909578636317139,0.9506022476222571,6.860180883354576
70,2801,6.125596743714375,0.9919287262442013,7.117525465874167
70,2901,6.346973896076143,1.0213965740174815,7.36837046227298
70,3001,6.564143675652379,1.0601913866993482,7.6243350744677985
100,1,0.002344544903112422,1.6566988126921543e-06,0.0023462195715877893
100,101,0.21353901196728983,0.05198169207290326,0.2655207129690053
100,201,0.42473348647861914,0.10396173277018451,0.5286952339333009
100,301,0.6359279358511746,0.15594176503131688,0.7918697018555794
100,401,0.8471224063628938,0.20792180376309943,1.0550442243162699
100,501,1.0583168708342,0.2599018285360975,1.318218686703203
100,601,1.2695113422030067,0.3118818729242145,1.5813932349838677
100,701,1.4807058213663926,0.36386188171534506,1.8445677137214147
100,801,1.6919002901098592,0.4158419526049507,2.107742221275109
100,901,1.9030947370931077,0.4678219763202312,2.370916716554394
100,1001,2.1142892351320337,0.5198019900337225,2.6340912369948644
100,1101,2.3254836772500225,0.571782058080383,2.8972657380288975
100,1201,2.5366781533595213,0.6237621016465122,3.160440246047639
100,1301,2.7478726215420215,0.6757421006801458,3.4236147379211017
100,1401,2.9590670915787376,0.7277221426878976,3.6867892206858888
100,1501,3.170261555225558,0.7797021536977962,3.949963708660606
100,1601,3.381455994823187,0.8316822239171496,4.213138221651654
100,1701,3.5926504621463775,0.883662252675717,4.476312703477058
100,1801,3.8038449269277685,0.9356422545229435,4.739487173047388
100,1901,4.015039389992975,0.9876223430588232,5.0026617198739505
