L_check,L,log10_inv_probability,log10_pec_sample,log10_total_sample
1000,2301,1.6761589745642884,7.0012133291967755,8.677372297327214
1000,2401,1.73721320716663,7.362864952893506,9.100078159636604
1000,2501,1.7703395317047084,7.7676221592988846,9.537961687423936
1000,2601,1.7874184220485154,8.185906027841325,9.97332445467775
1000,2701,1.795977585641712,8.599849584277447,10.395827156423122
1000,2801,1.8002032669534187,9.000503822783026,10.800707100169577
1000,2901,1.8022749784463112,9.38432552662528,11.186600506779067
1000,3001,1.8056241439087783,9.746962651634846,11.552586793402902
1100,1,0.002344544903112422,1.6566988126921543e-06,0.0023462195715877893
1100,101,0.21304831198368981,0.05306698753140787,0.26611531012250156
1100,201,0.3703217813168687,0.22240692712475993,0.5927287206329761
1100,301,0.47397258913673174,0.503239351307519,0.9772119498657682
1100,401,0.5350268251133286,0.8648909819727977,1.399917808504092
1100,501,0.5681531867058993,1.2696481848583165,1.837801368551519
1100,601,0.5852320619498919,1.6879320364582655,2.2731641019657527
1100,701,0.5937912437529546,2.1018755856443967,2.695666840259743
1100,801,0.598016895236974,2.5025298441960517,3.100546719357074
1100,901,0.6000885965242864,2.886351522687702,3.486440130319921
1100,1001,0.6010993907477051,3.252564850649614,3.8536642336706626
1100,1101,0.6039336152724012,3.5983798712461,4.202313473828109
1100,1201,0.8146373722751531,3.651445214039195,4.466082572208789
1100,1301,0.9719108425312868,3.82078514049685,4.792695988493067
1100,1401,1.0755616580761387,4.1016175718470365,5.177179250428341
1100,1501,1.1366158930329668,4.463269193142555,5.599885083954583
1100,1601,1.1697422579382588,4.868026385347914,6.037768619076605
1100,1701,1.1868211106188842,5.286310237052518,6.473131359954373
1100,1801,1.195380310976974,5.700253806634294,6.895634116362744
1100,1901,1.1996059718325647,6.100908039555862,7.300514007993629
1100,2001,1.201677687774806,6.4847297204490015,7.686407409055702
1100,2101,1.2026884689578874,6.8509430649632925,8.05363152836603
1100,2201,1.2055226763304676,7.196758070330606,8.402280755856399
1100,2301,1.4162264364365023,7.249823389328773,8.666049828431467
1100,2401,1.5734999290801033,7.419163355094718,8.992663297842345
1100,2501,1.6771507370573004,7.699995776828338,9.377146494590319
1100,2601,1.7382049397888282,8.061647385312279,9.799852325934317
1100,2701,1.7713313136722082,8.46640458465926,10.237735891846095
1100,2801,1.7884101724542432,8.884688447532413,10.673098610084093
1100,2901,1.7969693814357097,9.29863200223342,11.095601383175017
1100,3001,1.8011950466868272,9.699286261222296,11.500481322316604
1200,1,0.002344544903112422,1.6566988126921543e-06,0.0023462195715877893
